series_num,poem_num,stanza_num,line_num,token_num,pos_tuple,pos,token_str,term_str
1,1,1,0,1,"('Published', 'VBN')",VBN,Published,published
1,1,1,0,2,"('in', 'IN')",IN,in,in
1,1,1,0,4,"('A', 'NNP')",NNP,A,a
1,1,1,0,5,"('Masque', 'NNP')",NNP,Masque,masque
1,1,1,0,6,"('of', 'IN')",IN,of,of
1,1,1,0,7,"('Poets', 'NNPS')",NNPS,Poets,poets
1,1,1,0,9,"('at', 'IN')",IN,at,at
1,1,1,0,10,"('the', 'DT')",DT,the,the
1,1,1,0,11,"('request', 'NN')",NN,request,request
1,1,1,0,12,"('of', 'IN')",IN,of,of
1,1,1,0,14,"('H.H.', 'NNP')",NNP,H.H.,hh
1,1,1,0,17,"('the', 'DT')",DT,the,the
1,1,1,0,18,"(""author's"", 'JJ')",JJ,author's,authors
1,1,1,0,19,"('fellow-townswoman', 'JJ')",JJ,fellow-townswoman,fellowtownswoman
1,1,1,0,20,"('and', 'CC')",CC,and,and
1,1,1,0,21,"('friend', 'NN')",NN,friend,friend
1,1,2,0,0,"('Success', 'NNP')",NNP,Success,success
1,1,2,0,1,"('is', 'VBZ')",VBZ,is,is
1,1,2,0,2,"('counted', 'VBN')",VBN,counted,counted
1,1,2,0,3,"('sweetest', 'JJ')",JJ,sweetest,sweetest
1,1,2,0,4,"('By', 'IN')",IN,By,by
1,1,2,0,5,"('those', 'DT')",DT,those,those
1,1,2,0,6,"('who', 'WP')",WP,who,who
1,1,2,0,7,"(""ne'er"", 'VBP')",VBP,ne'er,neer
1,1,2,0,8,"('succeed', 'VB')",VB,succeed,succeed
1,1,2,1,0,"('To', 'TO')",TO,To,to
1,1,2,1,1,"('comprehend', 'VB')",VB,comprehend,comprehend
1,1,2,1,2,"('a', 'DT')",DT,a,a
1,1,2,1,3,"('nectar', 'NN')",NN,nectar,nectar
1,1,2,1,4,"('Requires', 'NNP')",NNP,Requires,requires
1,1,2,1,5,"('sorest', 'JJS')",JJS,sorest,sorest
1,1,2,1,6,"('need', 'NN')",NN,need,need
1,1,3,0,0,"('Not', 'RB')",RB,Not,not
1,1,3,0,1,"('one', 'CD')",CD,one,one
1,1,3,0,2,"('of', 'IN')",IN,of,of
1,1,3,0,3,"('all', 'PDT')",PDT,all,all
1,1,3,0,4,"('the', 'DT')",DT,the,the
1,1,3,0,5,"('purple', 'JJ')",JJ,purple,purple
1,1,3,0,6,"('host', 'NN')",NN,host,host
1,1,3,0,7,"('Who', 'WP')",WP,Who,who
1,1,3,0,8,"('took', 'VBD')",VBD,took,took
1,1,3,0,9,"('the', 'DT')",DT,the,the
1,1,3,0,10,"('flag', 'NN')",NN,flag,flag
1,1,3,0,11,"('to-day', 'JJ')",JJ,to-day,today
1,1,3,0,12,"('Can', 'NNP')",NNP,Can,can
1,1,3,0,13,"('tell', 'VB')",VB,tell,tell
1,1,3,0,14,"('the', 'DT')",DT,the,the
1,1,3,0,15,"('definition', 'NN')",NN,definition,definition
1,1,3,0,17,"('So', 'RB')",RB,So,so
1,1,3,0,18,"('clear', 'JJ')",JJ,clear,clear
1,1,3,0,20,"('of', 'IN')",IN,of,of
1,1,3,0,21,"('victory', 'NN')",NN,victory,victory
1,1,4,0,0,"('As', 'IN')",IN,As,as
1,1,4,0,1,"('he', 'PRP')",PRP,he,he
1,1,4,0,3,"('defeated', 'VBD')",VBD,defeated,defeated
1,1,4,0,5,"('dying', 'VBG')",VBG,dying,dying
1,1,4,0,7,"('On', 'IN')",IN,On,on
1,1,4,0,8,"('whose', 'WP$')",WP$,whose,whose
1,1,4,0,9,"('forbidden', 'JJ')",JJ,forbidden,forbidden
1,1,4,0,10,"('ear', 'VBP')",VBP,ear,ear
1,1,4,0,11,"('The', 'DT')",DT,The,the
1,1,4,0,12,"('distant', 'JJ')",JJ,distant,distant
1,1,4,0,13,"('strains', 'NNS')",NNS,strains,strains
1,1,4,0,14,"('of', 'IN')",IN,of,of
1,1,4,0,15,"('triumph', 'NN')",NN,triumph,triumph
1,1,4,0,16,"('Break', 'NNP')",NNP,Break,break
1,1,4,0,18,"('agonized', 'VBD')",VBD,agonized,agonized
1,1,4,0,19,"('and', 'CC')",CC,and,and
1,1,4,0,20,"('clear', 'JJ')",JJ,clear,clear
1,2,1,0,0,"('Our', 'PRP$')",PRP$,Our,our
1,2,1,0,1,"('share', 'NN')",NN,share,share
1,2,1,0,2,"('of', 'IN')",IN,of,of
1,2,1,0,3,"('night', 'NN')",NN,night,night
1,2,1,0,4,"('to', 'TO')",TO,to,to
1,2,1,0,5,"('bear', 'VB')",VB,bear,bear
1,2,1,0,7,"('Our', 'PRP$')",PRP$,Our,our
1,2,1,0,8,"('share', 'NN')",NN,share,share
1,2,1,0,9,"('of', 'IN')",IN,of,of
1,2,1,0,10,"('morning', 'NN')",NN,morning,morning
1,2,1,0,12,"('Our', 'PRP$')",PRP$,Our,our
1,2,1,0,13,"('blank', 'NN')",NN,blank,blank
1,2,1,0,14,"('in', 'IN')",IN,in,in
1,2,1,0,15,"('bliss', 'NN')",NN,bliss,bliss
1,2,1,0,16,"('to', 'TO')",TO,to,to
1,2,1,0,17,"('fill', 'VB')",VB,fill,fill
1,2,1,0,19,"('Our', 'PRP$')",PRP$,Our,our
1,2,1,0,20,"('blank', 'NN')",NN,blank,blank
1,2,1,0,21,"('in', 'IN')",IN,in,in
1,2,1,0,22,"('scorning', 'VBG')",VBG,scorning,scorning
1,2,2,0,0,"('Here', 'RB')",RB,Here,here
1,2,2,0,1,"('a', 'DT')",DT,a,a
1,2,2,0,2,"('star', 'NN')",NN,star,star
1,2,2,0,4,"('and', 'CC')",CC,and,and
1,2,2,0,5,"('there', 'RB')",RB,there,there
1,2,2,0,6,"('a', 'DT')",DT,a,a
1,2,2,0,7,"('star', 'NN')",NN,star,star
1,2,2,0,9,"('Some', 'DT')",DT,Some,some
1,2,2,0,10,"('lose', 'VBP')",VBP,lose,lose
1,2,2,0,11,"('their', 'PRP$')",PRP$,their,their
1,2,2,0,12,"('way', 'NN')",NN,way,way
1,2,2,1,0,"('Here', 'RB')",RB,Here,here
