term_id,term_str,n,num,stopwords,port_stem,pos_max
0,,337,0,0,,NNP
1,a,735,0,1,a,DT
2,abash,1,0,0,abash,VB
3,abasheth,1,0,0,abasheth,IN
4,abashless,1,0,0,abashless,RB
5,abbey,1,0,0,abbey,NNP
6,abducted,1,0,0,abduct,VBN
7,abhorred,1,0,0,abhor,VBD
8,abide,2,0,0,abid,IN
9,abides,1,0,0,abid,VBZ
10,abode,4,0,0,abod,NN
11,about,8,0,1,about,IN
12,above,7,0,1,abov,IN
13,abroad,11,0,0,abroad,RB
14,abrogate,1,0,0,abrog,VB
15,absolute,2,0,0,absolut,JJ
16,absorb,1,0,0,absorb,VB
17,abstemiousness,1,0,0,abstemi,NN
18,abstinence,2,0,0,abstin,NN
19,abundant,1,0,0,abund,JJ
20,abyss,2,0,0,abyss,NN
21,accent,1,0,0,accent,NN
22,accented,1,0,0,accent,VBN
23,accept,1,0,0,accept,VB
24,accessible,1,0,0,access,JJ
25,accident,1,0,0,accid,NN
26,accidental,1,0,0,accident,JJ
27,accompanied,1,0,0,accompani,NNP
28,accomplished,2,0,0,accomplish,JJ
29,accost,1,0,0,accost,RP
30,account,1,0,0,account,NN
31,accustomed,3,0,0,accustom,JJ
32,achase,1,0,0,achas,NN
33,aching,2,0,0,ach,NN
34,acknowledged,2,0,0,acknowledg,NNP
35,acknowledgment,1,0,0,acknowledg,NN
36,acorn,1,0,0,acorn,NN
37,acquaintance,1,0,0,acquaint,NNP
38,acquaintances,1,0,0,acquaint,NNS
39,acquainted,1,0,0,acquaint,VBD
40,acquitted,1,0,0,acquit,NNP
41,acre,4,0,0,acr,NN
42,acres,2,0,0,acr,NNP
43,across,4,0,0,across,IN
44,act,1,0,0,act,NN
45,action,1,0,0,action,NN
46,acts,1,0,0,act,NNS
47,actual,1,0,0,actual,JJ
48,adamant,1,0,0,adam,NN
49,adamantine,1,0,0,adamantin,NN
50,added,1,0,0,ad,JJ
51,adder,1,0,0,adder,NN
52,addeth,1,0,0,addeth,NNP
53,addressed,1,0,0,address,VBD
54,adequate,2,0,0,adequ,JJ
55,adjoining,1,0,0,adjoin,JJ
56,adjust,2,0,0,adjust,JJ
57,adjusted,2,0,0,adjust,VBD
58,adjusts,1,0,0,adjust,VBZ
59,admiring,1,0,0,admir,VBG
60,admit,1,0,0,admit,VB
61,admitted,1,0,0,admit,VBN
62,admonished,1,0,0,admonish,VBN
63,admonition,1,0,0,admonit,NN
64,adored,1,0,0,ador,VBN
65,adown,1,0,0,adown,IN
66,adroit,1,0,0,adroit,JJ
67,advance,1,0,0,advanc,NN
68,advanced,1,0,0,advanc,VBN
69,advances,1,0,0,advanc,NNS
70,adversity,1,0,0,advers,NN
71,affecting,1,0,0,affect,NNP
72,affection,1,0,0,affect,NN
73,affliction,1,0,0,afflict,NN
74,afflicts,1,0,0,afflict,VB
75,afforded,1,0,0,afford,VBD
