term_id,term_str,n,num,stopwords,port_stem,pos_max,doc_freq,inverse_doc_freq,tfidf_mean,tfidf_sum,tfidf_median,tfidf_max,term,vector,x,y
0,,337,0,0,,NNP,212,0.3151382495753481,0.006969473046002166,1.4775282857524592,0.006179181364222511,0.01750768053196378,the,"[ 0.2559501   0.01198775 -0.36838174  0.00169533 -0.3797543  -0.6822626
  0.9200246   1.347668   -0.9815668  -0.48411924 -0.22089323 -0.8729016
  0.6344439   0.6645689  -0.65750784  0.32639188  0.7833759   0.3120265
 -1.2549711  -0.7661486   0.69372416  0.53948605  1.1415746  -0.4298553
  0.33747092  0.07821923 -0.06491257  0.4937445  -1.1014333  -0.01168933
  0.00476951 -0.22342579 -0.13248749 -0.0125695  -0.5347419   0.27494034
  0.89431375  0.26401705  0.5486105  -0.5201366   0.5215601  -0.01551742
 -0.29781482 -0.48134094  1.3327565   0.02259205  0.10437204 -0.26732582
  0.5361001   0.46242186]",52.056667,-1.6442306
1,a,735,0,1,a,DT,291,0.17758112151819225,0.004220075739011855,1.2280420400524499,0.0038604591634389617,0.011838741434546149,and,"[ 0.22877832  0.01588895 -0.36983687 -0.01677582 -0.32130018 -0.6444068
  0.8714958   1.2541444  -0.93194854 -0.42898464 -0.22939178 -0.821556
  0.6043782   0.59927845 -0.6160505   0.31786567  0.7362389   0.3103286
 -1.1827215  -0.70390546  0.6533683   0.51812327  1.0699705  -0.42718753
  0.32147312  0.08643749 -0.04434753  0.45555046 -1.0371081  -0.01710372
  0.01734699 -0.2018949  -0.13384973  0.01530233 -0.51712686  0.26490512
  0.8456264   0.24855362  0.51858497 -0.47282463  0.5175293  -0.026556
 -0.2609359  -0.4473161   1.2839788   0.02998095  0.09617157 -0.2898834
  0.49876028  0.43411154]",51.8015,-1.7608362
2,abash,1,0,0,abash,VB,1,2.6414741105040997,0.05503071063550208,0.05503071063550208,0.05503071063550208,0.05503071063550208,a,"[ 0.22092739  0.01579007 -0.34435904 -0.00439426 -0.31827646 -0.63488334
  0.84880745  1.2563827  -0.90879464 -0.45592347 -0.21941993 -0.8295805
  0.5885435   0.62231135 -0.5944291   0.32451165  0.7347047   0.30757773
 -1.1649538  -0.6966979   0.6357149   0.48650038  1.0720143  -0.4212202
  0.32027152  0.08297531 -0.0678471   0.4570816  -1.0141597   0.01501848
  0.03701255 -0.22038543 -0.13707083 -0.00894577 -0.48509267  0.2670856
  0.8332563   0.26711613  0.5342008  -0.45559144  0.519686   -0.04203749
 -0.28194925 -0.4383743   1.2353239   0.03630818  0.12564795 -0.27045584
  0.49155605  0.41890863]",51.704033,-1.558737
3,abasheth,1,0,0,abasheth,IN,1,2.6414741105040997,0.05503071063550208,0.05503071063550208,0.05503071063550208,0.05503071063550208,to,"[ 0.24852166 -0.01076133 -0.34601277 -0.01055717 -0.32854244 -0.5915892
  0.8464513   1.2316709  -0.88365996 -0.4179057  -0.23247963 -0.7860081
  0.5762247   0.57882667 -0.5802518   0.31159315  0.71918494  0.27032173
 -1.1173337  -0.6659566   0.60926276  0.46343592  1.0379385  -0.3749756
  0.29659098  0.06199134 -0.07103475  0.43123204 -0.98175234 -0.01100125
 -0.00240904 -0.19263865 -0.12921885 -0.0099283  -0.4803691   0.24889828
  0.8037641   0.22992718  0.5077676  -0.47230992  0.49807507 -0.02985645
 -0.25344828 -0.44705603  1.209439    0.02592836  0.11894464 -0.26681158
  0.46004024  0.41156828]",51.345734,-1.9316828
4,abashless,1,0,0,abashless,RB,1,2.6414741105040997,0.132073705525205,0.132073705525205,0.132073705525205,0.132073705525205,i,"[ 2.3655131e-01  1.2588742e-02 -3.6277729e-01 -2.7652515e-02
 -3.0764857e-01 -5.9241939e-01  8.1531972e-01  1.2199663e+00
 -8.9357096e-01 -4.1895211e-01 -2.2756463e-01 -8.0049616e-01
  6.0480690e-01  5.8843821e-01 -5.6827360e-01  2.8666291e-01
  7.0879114e-01  3.0341643e-01 -1.1486055e+00 -6.9257283e-01
  5.9918636e-01  4.6978965e-01  1.0168500e+00 -4.0287536e-01
  3.1381017e-01  6.3686147e-02 -3.7104048e-02  4.4821581e-01
 -1.0059361e+00  7.1390718e-03  2.7929777e-02 -2.1284106e-01
 -1.5365458e-01  9.5082173e-04 -5.0049949e-01  2.4981543e-01
  8.0191755e-01  2.5370717e-01  5.0409573e-01 -4.6481860e-01
  4.8313719e-01 -2.2046750e-02 -2.5705832e-01 -4.2129982e-01
  1.2207632e+00  2.7776118e-02  1.1077268e-01 -2.6582879e-01
  4.6753123e-01  4.0031618e-01]",51.410095,-1.9470351
5,abbey,1,0,0,abbey,NNP,1,2.6414741105040997,0.04127303297662656,0.04127303297662656,0.04127303297662656,0.04127303297662656,of,"[ 0.23620518  0.00459549 -0.3589609  -0.03120427 -0.3444144  -0.61935985
  0.8157069   1.1988496  -0.8913099  -0.43895894 -0.20349199 -0.7967759
  0.5998999   0.5962503  -0.6001807   0.31976536  0.7179728   0.29380253
 -1.1382407  -0.66597223  0.6191034   0.49039564  1.0333418  -0.3891416
  0.28980592  0.09200028 -0.0382282   0.44548395 -0.9895873  -0.00137935
  0.01817873 -0.21926467 -0.15089141  0.00261548 -0.47897547  0.24318275
  0.78780913  0.23614527  0.51439255 -0.4627758   0.48205766 -0.01500892
 -0.23539421 -0.43361402  1.2289069   0.03026923  0.12029976 -0.25963566
  0.49233994  0.3894582 ]",51.411747,-1.9851198
6,abducted,1,0,0,abduct,VBN,1,2.6414741105040997,0.0660368527626025,0.0660368527626025,0.0660368527626025,0.0660368527626025,it,"[ 1.8273234e-01  2.4645500e-02 -2.9523537e-01 -2.0102963e-02
 -2.6823452e-01 -5.2290881e-01  7.1062857e-01  1.0494306e+00
 -7.3599714e-01 -3.8186717e-01 -1.6710727e-01 -6.6464072e-01
  5.0566524e-01  4.8782894e-01 -4.7964695e-01  2.5142756e-01
  6.1502624e-01  2.2910930e-01 -9.8008120e-01 -5.6673867e-01
  5.2673793e-01  4.0492460e-01  8.9282179e-01 -3.0876300e-01
  2.3341541e-01  6.9527112e-02 -3.4237713e-02  3.8296106e-01
 -8.4118134e-01  6.4767018e-04  1.5107334e-02 -1.7575328e-01
 -1.3209444e-01 -3.5269748e-04 -4.0471610e-01  2.3396121e-01
  7.0234519e-01  1.9925739e-01  4.0994769e-01 -3.7733907e-01
  4.2957214e-01 -1.4134813e-02 -2.0666362e-01 -3.7864736e-01
  1.0427618e+00  1.9564562e-02  9.8507732e-02 -2.3112662e-01
  4.0037087e-01  3.3910510e-01]",48.81399,-1.1303446
7,abhorred,1,0,0,abhor,VBD,1,2.6414741105040997,0.051793610009884306,0.051793610009884306,0.051793610009884306,0.051793610009884306,that,"[ 0.24387422  0.00884418 -0.36645752 -0.03837528 -0.33840004 -0.607471
  0.83129865  1.2378932  -0.87058604 -0.441902   -0.21737517 -0.7854369
  0.6039955   0.5884543  -0.5780863   0.28999302  0.7027196   0.29964948
 -1.1360782  -0.70212454  0.6293515   0.47216597  1.0213718  -0.36805043
  0.2932252   0.06302489 -0.06512194  0.4538621  -1.0030284   0.00170588
  0.00565152 -0.18882309 -0.12968236  0.00993422 -0.4860836   0.24868102
  0.8219886   0.25955877  0.4980524  -0.4853177   0.47927538 -0.02894652
 -0.25905946 -0.43632123  1.2289455   0.01851581  0.11882123 -0.28064275
  0.47144854  0.39347494]",51.445107,-1.4043813
8,abide,2,0,0,abid,IN,2,2.3404441148401185,0.04184562705326704,0.08369125410653408,0.04184562705326704,0.048759252392502464,in,"[ 0.22156413  0.01160938 -0.3632689  -0.02309586 -0.31938124 -0.59947103
  0.83355856  1.2266169  -0.89527947 -0.41929495 -0.22987252 -0.7851708
  0.574233    0.5970595  -0.60123473  0.29291824  0.7030711   0.29532078
 -1.1239336  -0.6938764   0.61992896  0.46854207  1.0471711  -0.37405562
  0.29462644  0.0780118  -0.05618027  0.45149508 -1.0137336  -0.0029278
  0.02904098 -0.19588171 -0.13677812 -0.01584801 -0.46869582  0.2421539
  0.7958691   0.25702316  0.5043785  -0.46540973  0.49945408 -0.04049832
 -0.2732768  -0.41319776  1.2343595   0.00560027  0.11432738 -0.2632176
  0.48881933  0.39113998]",51.43116,-1.4054822
9,abides,1,0,0,abid,VBZ,1,2.6414741105040997,0.11484670045669998,0.11484670045669998,0.11484670045669998,0.11484670045669998,is,"[ 0.2123738   0.01982236 -0.27792838 -0.02173448 -0.28777674 -0.53856784
  0.6946188   1.0317894  -0.76904666 -0.38919875 -0.17641737 -0.69995505
  0.5117417   0.5153432  -0.5173386   0.2571416   0.6315611   0.26282442
 -0.98920697 -0.5678131   0.518068    0.4268938   0.8820658  -0.33104655
  0.26224428  0.07976909 -0.05497937  0.39455634 -0.8376864  -0.02256895
 -0.00215507 -0.1913083  -0.11203399 -0.00306544 -0.4295177   0.20548604
  0.7086869   0.22369054  0.41432524 -0.40952495  0.43384314 -0.03291039
 -0.2076031  -0.3780313   1.0568533   0.00237815  0.10785495 -0.21435769
  0.41761476  0.3565266 ]",49.17354,-2.0325422
